"n_gram","freqz.x","probz.x","numerical_format.x","probzSmooth.x","freqz.y","probz.y","numerical_format.y","probzSmooth.y","oddsR","Experiment","Ngrams"
"AB",159,0.0694020078568311,"frequency",0.0681721346399659,118,0.0752551020408163,"probability",0.0732758620689655,0.925253503321768,"Study1",2
"AC",35,0.0152771715408119,"frequency",0.0153387302939923,20,0.0127551020408163,"probability",0.0129310344827586,1.18909562959758,"Study1",2
"AD",5,0.00218245307725884,"frequency",0.00255645504899872,3,0.00191326530612245,"probability",0.00246305418719212,1.03801794105083,"Study1",2
"AE",10,0.00436490615451768,"frequency",0.00468683425649766,2,0.00127551020408163,"probability",0.00184729064039409,2.54437785388128,"Study1",2
"AF",4,0.00174596246180707,"frequency",0.00213037920749893,4,0.00255102040816327,"probability",0.00307881773399015,0.691289496157131,"Study1",2
"AG",1,0.000436490615451768,"frequency",0.000852151682999574,0,0,"probability",0.00061576354679803,1.38422174840085,"Study1",2
"AH",25,0.0109122653862942,"frequency",0.0110779718789945,14,0.00892857142857143,"probability",0.00923645320197044,1.20160850208244,"Study1",2
"BA",88,0.0384111741597556,"frequency",0.037920749893481,36,0.0229591836734694,"probability",0.0227832512315271,1.6906015847557,"Study1",2
"BC",112,0.048886948930598,"frequency",0.0481465700894759,79,0.0503826530612245,"probability",0.0492610837438424,0.976230975828111,"Study1",2
"BD",155,0.067656045395024,"frequency",0.0664678312739668,114,0.0727040816326531,"probability",0.0708128078817734,0.934272617228584,"Study1",2
"BE",30,0.013094718463553,"frequency",0.0132083510864934,24,0.0153061224489796,"probability",0.0153940886699507,0.856113989637306,"Study1",2
"BF",9,0.00392841553906591,"frequency",0.00426075841499787,0,0,"probability",0.00061576354679803,6.94480102695764,"Study1",2
"BG",1,0.000436490615451768,"frequency",0.000852151682999574,0,0,"probability",0.00061576354679803,1.38422174840085,"Study1",2
"BH",22,0.00960279353993889,"frequency",0.0097997443544951,23,0.0146683673469388,"probability",0.0147783251231527,0.65978198508319,"Study1",2
"CA",39,0.0170231340026189,"frequency",0.0170430336599915,13,0.00829081632653061,"probability",0.00862068965517241,1.99393151278717,"Study1",2
"CB",64,0.0279353993889131,"frequency",0.0276949296974862,44,0.0280612244897959,"probability",0.0277093596059113,0.999464407439867,"Study1",2
"CD",25,0.0109122653862942,"frequency",0.0110779718789945,22,0.014030612244898,"probability",0.0141625615763547,0.779761347245378,"Study1",2
"CE",24,0.0104757747708424,"frequency",0.0106518960374947,23,0.0146683673469388,"probability",0.0147783251231527,0.717772035601493,"Study1",2
"CF",83,0.0362287210824967,"frequency",0.0357903706859821,34,0.0216836734693878,"probability",0.021551724137931,1.68519664162616,"Study1",2
"CG",34,0.0148406809253601,"frequency",0.0149126544524925,21,0.0133928571428571,"probability",0.0135467980295567,1.10235136835483,"Study1",2
"CH",61,0.0266259275425578,"frequency",0.0264167021729868,37,0.0235969387755102,"probability",0.0233990147783251,1.13246573764828,"Study1",2
"DA",4,0.00174596246180707,"frequency",0.00213037920749893,6,0.0038265306122449,"probability",0.00431034482758621,0.493168232280102,"Study1",2
"DB",104,0.0453950240069839,"frequency",0.0447379633574776,67,0.0427295918367347,"probability",0.041871921182266,1.07165346067062,"Study1",2
"DC",20,0.00872981230903536,"frequency",0.00894759267149553,20,0.0127551020408163,"probability",0.0129310344827586,0.689165950128977,"Study1",2
"DE",181,0.07900480139677,"frequency",0.0775458031529612,134,0.0854591836734694,"probability",0.083128078817734,0.927202121289881,"Study1",2
"DF",10,0.00436490615451768,"frequency",0.00468683425649766,5,0.00318877551020408,"probability",0.00369458128078818,1.26983447488584,"Study1",2
"DG",0,0,"frequency",0.000426075841499787,1,0.000637755102040816,"probability",0.00123152709359606,0.345694799658994,"Study1",2
"DH",9,0.00392841553906591,"frequency",0.00426075841499787,12,0.0076530612244898,"probability",0.00800492610837438,0.530265626542905,"Study1",2
"EA",14,0.00611086861632475,"frequency",0.0063911376224968,5,0.00318877551020408,"probability",0.00369458128078818,1.73456260720412,"Study1",2
"EB",43,0.018769096464426,"frequency",0.0187473370259906,12,0.0076530612244898,"probability",0.00800492610837438,2.36761414876916,"Study1",2
"EC",26,0.011348756001746,"frequency",0.0115040477204942,29,0.0184948979591837,"probability",0.0184729064039409,0.618362068965517,"Study1",2
"ED",122,0.0532518550851157,"frequency",0.0524073285044738,85,0.0542091836734694,"probability",0.0529556650246305,0.989072695332106,"Study1",2
"EF",116,0.0506329113924051,"frequency",0.0498508734554751,89,0.0567602040816327,"probability",0.0554187192118227,0.894260089686099,"Study1",2
"EG",6,0.00261894369271061,"frequency",0.00298253089049851,4,0.00255102040816327,"probability",0.00307881773399015,0.968632478632479,"Study1",2
"EH",9,0.00392841553906591,"frequency",0.00426075841499787,8,0.00510204081632653,"probability",0.00554187192118227,0.767841011743451,"Study1",2
"FA",3,0.0013094718463553,"frequency",0.00170430336599915,5,0.00318877551020408,"probability",0.00369458128078818,0.460378432209418,"Study1",2
"FB",17,0.00742034046268005,"frequency",0.00766936514699617,2,0.00127551020408163,"probability",0.00184729064039409,4.17604121940747,"Study1",2
"FC",61,0.0266259275425578,"frequency",0.0264167021729868,24,0.0153061224489796,"probability",0.0153940886699507,1.73545733041576,"Study1",2
"FD",10,0.00436490615451768,"frequency",0.00468683425649766,8,0.00510204081632653,"probability",0.00554187192118227,0.844986681887367,"Study1",2
"FE",76,0.0331732867743343,"frequency",0.0328078397954836,43,0.0274234693877551,"probability",0.0270935960591133,1.21806167400881,"Study1",2
"FG",116,0.0506329113924051,"frequency",0.0498508734554751,91,0.0580357142857143,"probability",0.0566502463054187,0.87367907974264,"Study1",2
"FH",20,0.00872981230903536,"frequency",0.00894759267149553,18,0.0114795918367347,"probability",0.0116995073891626,0.762660089604924,"Study1",2
"GA",7,0.00305543430816237,"frequency",0.0034086067319983,3,0.00191326530612245,"probability",0.00246305418719212,1.3852073535699,"Study1",2
"GB",3,0.0013094718463553,"frequency",0.00170430336599915,3,0.00191326530612245,"probability",0.00246305418719212,0.691421254801536,"Study1",2
"GC",42,0.0183326058489742,"frequency",0.0183212611844908,20,0.0127551020408163,"probability",0.0129310344827586,1.42462384259259,"Study1",2
"GD",3,0.0013094718463553,"frequency",0.00170430336599915,3,0.00191326530612245,"probability",0.00246305418719212,0.691421254801536,"Study1",2
"GE",9,0.00392841553906591,"frequency",0.00426075841499787,2,0.00127551020408163,"probability",0.00184729064039409,2.312081015547,"Study1",2
"GF",73,0.031863814927979,"frequency",0.0315296122709842,54,0.0344387755102041,"probability",0.0338669950738916,0.928736551613806,"Study1",2
"GH",40,0.0174596246180707,"frequency",0.0174691095014913,42,0.0267857142857143,"probability",0.0264778325123153,0.653714274188669,"Study1",2
"HA",53,0.0231340026189437,"frequency",0.0230080954409885,56,0.0357142857142857,"probability",0.0350985221674877,0.647416622673124,"Study1",2
"HB",18,0.00785683107813182,"frequency",0.00809544098849595,20,0.0127551020408163,"probability",0.0129310344827586,0.622995418098511,"Study1",2
"HC",49,0.0213880401571366,"frequency",0.0213037920749893,30,0.0191326530612245,"probability",0.0190886699507389,1.11856980353055,"Study1",2
"HD",9,0.00392841553906591,"frequency",0.00426075841499787,12,0.0076530612244898,"probability",0.00800492610837438,0.530265626542905,"Study1",2
"HE",4,0.00174596246180707,"frequency",0.00213037920749893,5,0.00318877551020408,"probability",0.00369458128078818,0.575718758895531,"Study1",2
"HF",8,0.00349192492361414,"frequency",0.00383468257349808,8,0.00510204081632653,"probability",0.00554187192118227,0.690761334473909,"Study1",2
"HG",20,0.00872981230903536,"frequency",0.00894759267149553,11,0.00701530612244898,"probability",0.00738916256157635,1.2128116938951,"Study1",2
"AB",181,0.0774165953806672,"frequency",0.0760233918128655,119,0.0694282380396733,"probability",0.0677966101694915,1.13132911392405,"Study2",2
"AC",38,0.0162532078699743,"frequency",0.0162907268170426,19,0.0110851808634772,"probability",0.0112994350282486,1.44904458598726,"Study2",2
"AD",9,0.00384944396920445,"frequency",0.00417710944026733,2,0.00116686114352392,"probability",0.00169491525423729,2.47063758389262,"Study2",2
"AE",9,0.00384944396920445,"frequency",0.00417710944026733,3,0.00175029171528588,"probability",0.00225988700564972,1.85192953020134,"Study2",2
"AF",6,0.00256629597946963,"frequency",0.00292397660818713,1,0.00058343057176196,"probability",0.00112994350282486,2.59237536656891,"Study2",2
"AG",3,0.00128314798973482,"frequency",0.00167084377610693,2,0.00116686114352392,"probability",0.00169491525423729,0.985774058577406,"Study2",2
"AH",40,0.0171086398631309,"frequency",0.0171261487050961,21,0.0122520420070012,"probability",0.0124293785310734,1.38446084302438,"Study2",2
"BA",95,0.0406330196749358,"frequency",0.0401002506265664,33,0.0192532088681447,"probability",0.0192090395480226,2.13300568269083,"Study2",2
"BC",105,0.0449101796407186,"frequency",0.0442773600668337,84,0.0490081680280047,"probability",0.0480225988700565,0.918397778691896,"Study2",2
"BD",157,0.0671514114627887,"frequency",0.0659983291562239,115,0.0670945157526254,"probability",0.0655367231638418,1.00754117574486,"Study2",2
"BE",16,0.00684345594525235,"frequency",0.00710108604845447,23,0.0134189031505251,"probability",0.0135593220338983,0.520298695835086,"Study2",2
"BF",8,0.00342172797262618,"frequency",0.0037593984962406,7,0.00408401400233372,"probability",0.00451977401129944,0.831132075471698,"Study2",2
"BG",3,0.00128314798973482,"frequency",0.00167084377610693,1,0.00058343057176196,"probability",0.00112994350282486,1.47949790794979,"Study2",2
"BH",22,0.00940975192472198,"frequency",0.00960735171261487,24,0.014002333722287,"probability",0.0141242937853107,0.677098270771826,"Study2",2
"CA",49,0.0209580838323353,"frequency",0.0208855472013367,20,0.0116686114352392,"probability",0.011864406779661,1.77657240370551,"Study2",2
"CB",57,0.0243798118049615,"frequency",0.0242272347535505,45,0.0262543757292882,"probability",0.0259887005649717,0.93053901131626,"Study2",2
"CD",22,0.00940975192472198,"frequency",0.00960735171261487,24,0.014002333722287,"probability",0.0141242937853107,0.677098270771826,"Study2",2
"CE",25,0.0106928999144568,"frequency",0.0108604845446951,19,0.0110851808634772,"probability",0.0112994350282486,0.960726351351351,"Study2",2
"CF",57,0.0243798118049615,"frequency",0.0242272347535505,49,0.0285880980163361,"probability",0.0282485875706215,0.854109589041096,"Study2",2
"CG",28,0.0119760479041916,"frequency",0.0121136173767753,22,0.0128354725787631,"probability",0.0129943502824859,0.931390752826547,"Study2",2
"CH",42,0.0179640718562874,"frequency",0.0179615705931495,55,0.0320886814469078,"probability",0.031638418079096,0.559807376800146,"Study2",2
"DA",8,0.00342172797262618,"frequency",0.0037593984962406,0,0,"probability",0.000564971751412429,6.67547169811321,"Study2",2
"DB",81,0.03464499572284,"frequency",0.0342522974101921,61,0.0355892648774796,"probability",0.0350282485875706,0.977062172117424,"Study2",2
"DC",26,0.0111206159110351,"frequency",0.0112781954887218,23,0.0134189031505251,"probability",0.0135593220338983,0.829847908745247,"Study2",2
"DE",221,0.0945252352437981,"frequency",0.0927318295739348,146,0.0851808634772462,"probability",0.0830508474576271,1.12848122674484,"Study2",2
"DF",1,0.000427715996578272,"frequency",0.000835421888053467,3,0.00175029171528588,"probability",0.00225988700564972,0.369147157190635,"Study2",2
"DG",3,0.00128314798973482,"frequency",0.00167084377610693,4,0.00233372228704784,"probability",0.00282485875706215,0.590794979079498,"Study2",2
"DH",12,0.00513259195893926,"frequency",0.00543024227234754,9,0.00525087514585764,"probability",0.00564971751412429,0.960940781184376,"Study2",2
"EA",8,0.00342172797262618,"frequency",0.0037593984962406,6,0.00350058343057176,"probability",0.00395480225988701,0.950404312668464,"Study2",2
"EB",32,0.0136869118905047,"frequency",0.0137844611528822,20,0.0116686114352392,"probability",0.011864406779661,1.16409511708114,"Study2",2
"EC",18,0.0076988879384089,"frequency",0.00793650793650794,35,0.0204200700116686,"probability",0.0203389830508475,0.385333333333333,"Study2",2
"ED",149,0.0637296834901625,"frequency",0.06265664160401,93,0.0542590431738623,"probability",0.0531073446327684,1.19183069746274,"Study2",2
"EF",138,0.0590248075278015,"frequency",0.058061821219716,91,0.0530921820303384,"probability",0.0519774011299435,1.12427455895112,"Study2",2
"EG",9,0.00384944396920445,"frequency",0.00417710944026733,3,0.00175029171528588,"probability",0.00225988700564972,1.85192953020134,"Study2",2
"EH",9,0.00384944396920445,"frequency",0.00417710944026733,10,0.0058343057176196,"probability",0.00621468926553672,0.670759609517999,"Study2",2
"FA",10,0.00427715996578272,"frequency",0.00459482038429407,4,0.00233372228704784,"probability",0.00282485875706215,1.62945866554763,"Study2",2
"FB",12,0.00513259195893926,"frequency",0.00543024227234754,7,0.00408401400233372,"probability",0.00451977401129944,1.20254094918102,"Study2",2
"FC",36,0.0153977758768178,"frequency",0.0154553049289891,39,0.0227537922987165,"probability",0.0225988700564972,0.678935086974968,"Study2",2
"FD",3,0.00128314798973482,"frequency",0.00167084377610693,2,0.00116686114352392,"probability",0.00169491525423729,0.985774058577406,"Study2",2
"FE",79,0.0337895637296835,"frequency",0.0334168755221387,55,0.0320886814469078,"probability",0.031638418079096,1.05815532781825,"Study2",2
"FG",132,0.0564585115483319,"frequency",0.0555555555555556,99,0.0577596266044341,"probability",0.0564971751412429,0.982352941176471,"Study2",2
"FH",20,0.00855431993156544,"frequency",0.0087719298245614,12,0.00700116686114352,"probability",0.00734463276836158,1.19605173587474,"Study2",2
"GA",5,0.00213857998289136,"frequency",0.0025062656641604,4,0.00233372228704784,"probability",0.00282485875706215,0.886934673366834,"Study2",2
"GB",9,0.00384944396920445,"frequency",0.00417710944026733,2,0.00116686114352392,"probability",0.00169491525423729,2.47063758389262,"Study2",2
"GC",38,0.0162532078699743,"frequency",0.0162907268170426,19,0.0110851808634772,"probability",0.0112994350282486,1.44904458598726,"Study2",2
"GD",2,0.000855431993156544,"frequency",0.0012531328320802,3,0.00175029171528588,"probability",0.00225988700564972,0.553952321204517,"Study2",2
"GE",3,0.00128314798973482,"frequency",0.00167084377610693,7,0.00408401400233372,"probability",0.00451977401129944,0.368619246861925,"Study2",2
"GF",77,0.0329341317365269,"frequency",0.0325814536340852,65,0.0379229871645274,"probability",0.0372881355932203,0.869524258125294,"Study2",2
"GH",44,0.018819503849444,"frequency",0.018796992481203,45,0.0262543757292882,"probability",0.0259887005649717,0.717974346160253,"Study2",2
"HA",75,0.0320786997433704,"frequency",0.0317460317460317,47,0.0274212368728121,"probability",0.0271186440677966,1.17622950819672,"Study2",2
"HB",22,0.00940975192472198,"frequency",0.00960735171261487,28,0.0163360560093349,"probability",0.0163841807909605,0.582367399176835,"Study2",2
"HC",36,0.0153977758768178,"frequency",0.0154553049289891,40,0.0233372228704784,"probability",0.0231638418079096,0.661992818485673,"Study2",2
"HD",13,0.00556030795551754,"frequency",0.00584795321637427,11,0.00641773628938156,"probability",0.00677966101694915,0.861764705882353,"Study2",2
"HE",8,0.00342172797262618,"frequency",0.0037593984962406,9,0.00525087514585764,"probability",0.00564971751412429,0.664150943396226,"Study2",2
"HF",13,0.00556030795551754,"frequency",0.00584795321637427,7,0.00408401400233372,"probability",0.00451977401129944,1.29558823529412,"Study2",2
"HG",14,0.00598802395209581,"frequency",0.006265664160401,17,0.00991831971995333,"probability",0.0101694915254237,0.613703236654056,"Study2",2
