n_gram,freqz.x,probz.x,numerical_format.x,probzSmooth.x,freqz.y,probz.y,numerical_format.y,probzSmooth.y,oddsR,Experiment,Ngrams,CountFreq,CountProb,CountNGRAMS,SE,OR,Lower,Upper,Sig,Frequency
AB,159,0.069402008,frequency,0.068172135,118,0.075255102,probability,0.073275862,0.925253503,Study1,2,2291,1568,56,0.125598808,0.925253503,0.723350647,1.183511826,N,159
AC,35,0.015277172,frequency,0.01533873,20,0.012755102,probability,0.012931034,1.18909563,Study1,2,2291,1568,56,0.276502023,1.18909563,0.69159765,2.044466772,N,35
AD,5,0.002182453,frequency,0.002556455,3,0.001913265,probability,0.002463054,1.038017941,Study1,2,2291,1568,56,0.646305747,1.038017941,0.292454496,3.684269732,N,5
AE,10,0.004364906,frequency,0.004686834,2,0.00127551,probability,0.001847291,2.544377854,Study1,2,2291,1568,56,0.652140636,2.544377854,0.708709559,9.134713342,N,10
AF,4,0.001745962,frequency,0.002130379,4,0.00255102,probability,0.003078818,0.691289496,Study1,2,2291,1568,56,0.633280862,0.691289496,0.199802264,2.391770532,N,4
AG,1,0.000436491,frequency,0.000852152,0,0,probability,0.000615764,1.384221748,Study1,2,2291,1568,56,1.22517043,1.384221748,0.125406355,15.27888958,N,1
AH,25,0.010912265,frequency,0.011077972,14,0.008928571,probability,0.009236453,1.201608502,Study1,2,2291,1568,56,0.325853584,1.201608502,0.634440389,2.275805604,N,25
BA,88,0.038411174,frequency,0.03792075,36,0.022959184,probability,0.022783251,1.690601585,Study1,2,2291,1568,56,0.198332982,1.690601585,1.146085003,2.493823505,Y,88
BC,112,0.048886949,frequency,0.04814657,79,0.050382653,probability,0.049261084,0.976230976,Study1,2,2291,1568,56,0.149816066,0.976230976,0.727824338,1.309418864,N,112
BD,155,0.067656045,frequency,0.066467831,114,0.072704082,probability,0.070812808,0.934272617,Study1,2,2291,1568,56,0.127377438,0.934272617,0.727859837,1.199221716,N,155
BE,30,0.013094718,frequency,0.013208351,24,0.015306122,probability,0.015394089,0.85611399,Study1,2,2291,1568,56,0.270767861,0.85611399,0.503557812,1.455505496,N,30
BF,9,0.003928416,frequency,0.004260758,0,0,probability,0.000615764,6.944801027,Study1,2,2291,1568,56,1.049306458,6.944801027,0.888120958,54.30596007,N,9
BG,1,0.000436491,frequency,0.000852152,0,0,probability,0.000615764,1.384221748,Study1,2,2291,1568,56,1.22517043,1.384221748,0.125406355,15.27888958,N,1
BH,22,0.009602794,frequency,0.009799744,23,0.014668367,probability,0.014778325,0.659781985,Study1,2,2291,1568,56,0.29359874,0.659781985,0.371094195,1.1730506,N,23
CA,39,0.017023134,frequency,0.017043034,13,0.008290816,probability,0.00862069,1.993931513,Study1,2,2291,1568,56,0.312222922,1.993931513,1.081286351,3.676882516,Y,39
CB,64,0.027935399,frequency,0.02769493,44,0.028061224,probability,0.02770936,0.999464407,Study1,2,2291,1568,56,0.196668152,0.999464407,0.679766914,1.469517097,N,64
CD,25,0.010912265,frequency,0.011077972,22,0.014030612,probability,0.014162562,0.779761347,Study1,2,2291,1568,56,0.288088975,0.779761347,0.443338469,1.371475298,N,25
CE,24,0.010475775,frequency,0.010651896,23,0.014668367,probability,0.014778325,0.717772036,Study1,2,2291,1568,56,0.287614899,0.717772036,0.408473409,1.261273521,N,24
CF,83,0.036228721,frequency,0.035790371,34,0.021683673,probability,0.021551724,1.685196642,Study1,2,2291,1568,56,0.203831814,1.685196642,1.130174339,2.512787296,Y,83
CG,34,0.014840681,frequency,0.014912654,21,0.013392857,probability,0.013546798,1.102351368,Study1,2,2291,1568,56,0.274012262,1.102351368,0.64428215,1.886096858,N,34
CH,61,0.026625928,frequency,0.026416702,37,0.023596939,probability,0.023399015,1.132465738,Study1,2,2291,1568,56,0.20859764,1.132465738,0.752424928,1.704460603,N,61
DA,4,0.001745962,frequency,0.002130379,6,0.003826531,probability,0.004310345,0.493168232,Study1,2,2291,1568,56,0.586432057,0.493168232,0.15624785,1.556596817,N,6
DB,104,0.045395024,frequency,0.044737963,67,0.042729592,probability,0.041871921,1.071653461,Study1,2,2291,1568,56,0.159117553,1.071653461,0.784532203,1.463854683,N,104
DC,20,0.008729812,frequency,0.008947593,20,0.012755102,probability,0.012931034,0.68916595,Study1,2,2291,1568,56,0.310309278,0.68916595,0.375131231,1.266089486,N,20
DE,181,0.079004801,frequency,0.077545803,134,0.085459184,probability,0.083128079,0.927202121,Study1,2,2291,1568,56,0.118471087,0.927202121,0.735071851,1.169550668,N,181
DF,10,0.004364906,frequency,0.004686834,5,0.003188776,probability,0.003694581,1.269834475,Study1,2,2291,1568,56,0.508548805,1.269834475,0.46866404,3.440587406,N,10
DG,0,0,frequency,0.000426076,1,0.000637755,probability,0.001231527,0.3456948,Study1,2,2291,1568,56,1.225170511,0.3456948,0.031318911,3.815742323,N,1
DH,9,0.003928416,frequency,0.004260758,12,0.007653061,probability,0.008004926,0.530265627,Study1,2,2291,1568,56,0.421866932,0.530265627,0.231949315,1.212254648,N,12
EA,14,0.006110869,frequency,0.006391138,5,0.003188776,probability,0.003694581,1.734562607,Study1,2,2291,1568,56,0.484128285,1.734562607,0.671570582,4.480106066,N,14
EB,43,0.018769096,frequency,0.018747337,12,0.007653061,probability,0.008004926,2.367614149,Study1,2,2291,1568,56,0.317340981,2.367614149,1.27111496,4.409984095,Y,43
EC,26,0.011348756,frequency,0.011504048,29,0.018494898,probability,0.018472906,0.618362069,Study1,2,2291,1568,56,0.26726159,0.618362069,0.366222635,1.044096163,N,29
ED,122,0.053251855,frequency,0.052407329,85,0.054209184,probability,0.052955665,0.989072695,Study1,2,2291,1568,56,0.144422379,0.989072695,0.745235272,1.31269256,N,122
EF,116,0.050632911,frequency,0.049850873,89,0.056760204,probability,0.055418719,0.89426009,Study1,2,2291,1568,56,0.144077898,0.89426009,0.674252036,1.186056646,N,116
EG,6,0.002618944,frequency,0.002982531,4,0.00255102,probability,0.003078818,0.968632479,Study1,2,2291,1568,56,0.586431717,0.968632479,0.306886845,3.057312148,N,6
EH,9,0.003928416,frequency,0.004260758,8,0.005102041,probability,0.005541872,0.767841012,Study1,2,2291,1568,56,0.460606345,0.767841012,0.311311575,1.893857687,N,9
FA,3,0.001309472,frequency,0.001704303,5,0.003188776,probability,0.003694581,0.460378432,Study1,2,2291,1568,56,0.646306055,0.460378432,0.129708414,1.634036639,N,5
FB,17,0.00742034,frequency,0.007669365,2,0.00127551,probability,0.001847291,4.176041219,Study1,2,2291,1568,56,0.624447885,4.176041219,1.2280725,14.20056248,Y,17
FC,61,0.026625928,frequency,0.026416702,24,0.015306122,probability,0.015394089,1.73545733,Study1,2,2291,1568,56,0.239148615,1.73545733,1.086041772,2.773201016,Y,61
FD,10,0.004364906,frequency,0.004686834,8,0.005102041,probability,0.005541872,0.844986682,Study1,2,2291,1568,56,0.450630091,0.844986682,0.349354053,2.043779043,N,10
FE,76,0.033173287,frequency,0.03280784,43,0.027423469,probability,0.027093596,1.218061674,Study1,2,2291,1568,56,0.191801266,1.218061674,0.836382129,1.77391911,N,76
FG,116,0.050632911,frequency,0.049850873,91,0.058035714,probability,0.056650246,0.87367908,Study1,2,2291,1568,56,0.143240168,0.87367908,0.659816914,1.156858999,N,116
FH,20,0.008729812,frequency,0.008947593,18,0.011479592,probability,0.011699507,0.76266009,Study1,2,2291,1568,56,0.318282268,0.76266009,0.408699103,1.423175164,N,20
GA,7,0.003055434,frequency,0.003408607,3,0.001913265,probability,0.002463054,1.385207354,Study1,2,2291,1568,56,0.613224932,1.385207354,0.416415789,4.607893028,N,7
GB,3,0.001309472,frequency,0.001704303,3,0.001913265,probability,0.002463054,0.691421255,Study1,2,2291,1568,56,0.707844677,0.691421255,0.172668522,2.768676913,N,3
GC,42,0.018332606,frequency,0.018321261,20,0.012755102,probability,0.012931034,1.424623843,Study1,2,2291,1568,56,0.268202759,1.424623843,0.842173189,2.40989991,N,42
GD,3,0.001309472,frequency,0.001704303,3,0.001913265,probability,0.002463054,0.691421255,Study1,2,2291,1568,56,0.707844677,0.691421255,0.172668522,2.768676913,N,3
GE,9,0.003928416,frequency,0.004260758,2,0.00127551,probability,0.001847291,2.312081016,Study1,2,2291,1568,56,0.659073695,2.312081016,0.635313659,8.41429827,N,9
GF,73,0.031863815,frequency,0.031529612,54,0.034438776,probability,0.033866995,0.928736552,Study1,2,2291,1568,56,0.181032117,0.928736552,0.651320712,1.324311613,N,73
GH,40,0.017459625,frequency,0.01746911,42,0.026785714,probability,0.026477833,0.653714274,Study1,2,2291,1568,56,0.220708451,0.653714274,0.424147725,1.007531874,N,42
HA,53,0.023134003,frequency,0.023008095,56,0.035714286,probability,0.035098522,0.647416623,Study1,2,2291,1568,56,0.192708718,0.647416623,0.443758692,0.94454101,Y,56
HB,18,0.007856831,frequency,0.008095441,20,0.012755102,probability,0.012931034,0.622995418,Study1,2,2291,1568,56,0.318282909,0.622995418,0.333854297,1.162552928,N,20
HC,49,0.02138804,frequency,0.021303792,30,0.019132653,probability,0.01908867,1.118569804,Study1,2,2291,1568,56,0.230913753,1.118569804,0.711386036,1.758817774,N,49
HD,9,0.003928416,frequency,0.004260758,12,0.007653061,probability,0.008004926,0.530265627,Study1,2,2291,1568,56,0.421866932,0.530265627,0.231949315,1.212254648,N,12
HE,4,0.001745962,frequency,0.002130379,5,0.003188776,probability,0.003694581,0.575718759,Study1,2,2291,1568,56,0.606392364,0.575718759,0.175403712,1.889652652,N,5
HF,8,0.003491925,frequency,0.003834683,8,0.005102041,probability,0.005541872,0.690761334,Study1,2,2291,1568,56,0.472513633,0.690761334,0.273600128,1.743972948,N,8
HG,20,0.008729812,frequency,0.008947593,11,0.007015306,probability,0.007389163,1.212811694,Study1,2,2291,1568,56,0.363321691,1.212811694,0.595014719,2.472060199,N,20
AB,181,0.077416595,frequency,0.076023392,119,0.069428238,probability,0.06779661,1.131329114,Study2,2,2338,1714,56,0.12200811,1.131329114,0.890704329,1.436958957,N,181
AC,38,0.016253208,frequency,0.016290727,19,0.011085181,probability,0.011299435,1.449044586,Study2,2,2338,1714,56,0.276834035,1.449044586,0.842239996,2.493030754,N,38
AD,9,0.003849444,frequency,0.004177109,2,0.001166861,probability,0.001694915,2.470637584,Study2,2,2338,1714,56,0.659028624,2.470637584,0.67894181,8.99053495,N,9
AE,9,0.003849444,frequency,0.004177109,3,0.001750292,probability,0.002259887,1.85192953,Study2,2,2338,1714,56,0.592440473,1.85192953,0.579867736,5.914526318,N,9
AF,6,0.002566296,frequency,0.002923977,1,0.000583431,probability,0.001129944,2.592375367,Study2,2,2338,1714,56,0.802397464,2.592375367,0.537877498,12.49431342,N,6
AG,3,0.001283148,frequency,0.001670844,2,0.001166861,probability,0.001694915,0.985774059,Study2,2,2338,1714,56,0.764406747,0.985774059,0.220343999,4.410151856,N,3
AH,40,0.01710864,frequency,0.017126149,21,0.012252042,probability,0.012429379,1.384460843,Study2,2,2338,1714,56,0.266161344,1.384460843,0.821711882,2.332608141,N,40
BA,95,0.04063302,frequency,0.040100251,33,0.019253209,probability,0.01920904,2.133005683,Study2,2,2338,1714,56,0.202088172,2.133005683,1.435393872,3.169661883,Y,95
BC,105,0.04491018,frequency,0.04427736,84,0.049008168,probability,0.048022599,0.918397779,Study2,2,2338,1714,56,0.149094611,0.918397779,0.685675971,1.230106517,N,105
BD,157,0.067151411,frequency,0.065998329,115,0.067094516,probability,0.065536723,1.007541176,Study2,2,2338,1714,56,0.126497532,1.007541176,0.786295754,1.291039937,N,157
BE,16,0.006843456,frequency,0.007101086,23,0.013418903,probability,0.013559322,0.520298696,Study2,2,2338,1714,56,0.318564957,0.520298696,0.278666505,0.971450561,Y,23
BF,8,0.003421728,frequency,0.003759398,7,0.004084014,probability,0.004519774,0.831132075,Study2,2,2338,1714,56,0.486927033,0.831132075,0.320029037,2.158493281,N,8
BG,3,0.001283148,frequency,0.001670844,1,0.000583431,probability,0.001129944,1.479497908,Study2,2,2338,1714,56,0.866593342,1.479497908,0.270679403,8.086740376,N,3
BH,22,0.009409752,frequency,0.009607352,24,0.014002334,probability,0.014124294,0.677098271,Study2,2,2338,1714,56,0.290642546,0.677098271,0.383046744,1.196882824,N,24
CA,49,0.020958084,frequency,0.020885547,20,0.011668611,probability,0.011864407,1.776572404,Study2,2,2338,1714,56,0.261949278,1.776572404,1.063180947,2.968647543,Y,49
CB,57,0.024379812,frequency,0.024227235,45,0.026254376,probability,0.025988701,0.930539011,Study2,2,2338,1714,56,0.199971594,0.930539011,0.628804047,1.377063103,N,57
CD,22,0.009409752,frequency,0.009607352,24,0.014002334,probability,0.014124294,0.677098271,Study2,2,2338,1714,56,0.290642546,0.677098271,0.383046744,1.196882824,N,24
CE,25,0.0106929,frequency,0.010860485,19,0.011085181,probability,0.011299435,0.960726351,Study2,2,2338,1714,56,0.299090729,0.960726351,0.534574864,1.72659656,N,25
CF,57,0.024379812,frequency,0.024227235,49,0.028588098,probability,0.028248588,0.854109589,Study2,2,2338,1714,56,0.195578263,0.854109589,0.582148817,1.253121484,N,57
CG,28,0.011976048,frequency,0.012113617,22,0.012835473,probability,0.01299435,0.931390753,Study2,2,2338,1714,56,0.28099157,0.931390753,0.536966348,1.615536501,N,28
CH,42,0.017964072,frequency,0.017961571,55,0.032088681,probability,0.031638418,0.559807377,Study2,2,2338,1714,56,0.205235811,0.559807377,0.374402179,0.837025842,Y,55
DA,8,0.003421728,frequency,0.003759398,0,0,probability,0.000564972,6.675471698,Study2,2,2338,1714,56,1.054559476,6.675471698,0.844934047,52.74011925,N,8
DB,81,0.034644996,frequency,0.034252297,61,0.035589265,probability,0.035028249,0.977062172,Study2,2,2338,1714,56,0.171295535,0.977062172,0.698413293,1.366884763,N,81
DC,26,0.011120616,frequency,0.011278195,23,0.013418903,probability,0.013559322,0.829847909,Study2,2,2338,1714,56,0.282309966,0.829847909,0.477190083,1.443130477,N,26
DE,221,0.094525235,frequency,0.09273183,146,0.085180863,probability,0.083050847,1.128481227,Study2,2,2338,1714,56,0.111282405,1.128481227,0.907337463,1.40352397,N,221
DF,1,0.000427716,frequency,0.000835422,3,0.001750292,probability,0.002259887,0.369147157,Study2,2,2338,1714,56,0.86659351,0.369147157,0.067536763,2.017710323,N,3
DG,3,0.001283148,frequency,0.001670844,4,0.002333722,probability,0.002824859,0.590794979,Study2,2,2338,1714,56,0.671554154,0.590794979,0.158415751,2.203308106,N,4
DH,12,0.005132592,frequency,0.005430242,9,0.005250875,probability,0.005649718,0.960940781,Study2,2,2338,1714,56,0.421795271,0.960940781,0.42039471,2.196524276,N,12
EA,8,0.003421728,frequency,0.003759398,6,0.003500583,probability,0.003954802,0.950404313,Study2,2,2338,1714,56,0.504930447,0.950404313,0.353266882,2.556900757,N,8
EB,32,0.013686912,frequency,0.013784461,20,0.011668611,probability,0.011864407,1.164095117,Study2,2,2338,1714,56,0.280922378,1.164095117,0.671216327,2.018898212,N,32
EC,18,0.007698888,frequency,0.007936508,35,0.02042007,probability,0.020338983,0.385333333,Study2,2,2338,1714,56,0.285319313,0.385333333,0.220276353,0.674070439,Y,35
ED,149,0.063729683,frequency,0.062656642,93,0.054259043,probability,0.053107345,1.191830697,Study2,2,2338,1714,56,0.135452043,1.191830697,0.913935317,1.554224226,N,149
EF,138,0.059024808,frequency,0.058061821,91,0.053092182,probability,0.051977401,1.124274559,Study2,2,2338,1714,56,0.138214385,1.124274559,0.857475901,1.474086074,N,138
EG,9,0.003849444,frequency,0.004177109,3,0.001750292,probability,0.002259887,1.85192953,Study2,2,2338,1714,56,0.592440473,1.85192953,0.579867736,5.914526318,N,9
EH,9,0.003849444,frequency,0.004177109,10,0.005834306,probability,0.006214689,0.67075961,Study2,2,2338,1714,56,0.438060565,0.67075961,0.284238055,1.582893094,N,10
FA,10,0.00427716,frequency,0.00459482,4,0.002333722,probability,0.002824859,1.629458666,Study2,2,2338,1714,56,0.540273359,1.629458666,0.56513653,4.698219635,N,10
FB,12,0.005132592,frequency,0.005430242,7,0.004084014,probability,0.004519774,1.202540949,Study2,2,2338,1714,56,0.450455997,1.202540949,0.497352137,2.907607361,N,12
FC,36,0.015397776,frequency,0.015455305,39,0.022753792,probability,0.02259887,0.678935087,Study2,2,2338,1714,56,0.23028098,0.678935087,0.432323781,1.066221366,N,39
FD,3,0.001283148,frequency,0.001670844,2,0.001166861,probability,0.001694915,0.985774059,Study2,2,2338,1714,56,0.764406747,0.985774059,0.220343999,4.410151856,N,3
FE,79,0.033789564,frequency,0.033416876,55,0.032088681,probability,0.031638418,1.058155328,Study2,2,2338,1714,56,0.177123475,1.058155328,0.747788663,1.497338423,N,79
FG,132,0.056458512,frequency,0.055555556,99,0.057759627,probability,0.056497175,0.982352941,Study2,2,2338,1714,56,0.136234656,0.982352941,0.752146206,1.283018239,N,132
FH,20,0.00855432,frequency,0.00877193,12,0.007001167,probability,0.007344633,1.196051736,Study2,2,2338,1714,56,0.354305919,1.196051736,0.597253467,2.395197073,N,20
GA,5,0.00213858,frequency,0.002506266,4,0.002333722,probability,0.002824859,0.886934673,Study2,2,2338,1714,56,0.606343137,0.886934673,0.270247656,2.910860085,N,5
GB,9,0.003849444,frequency,0.004177109,2,0.001166861,probability,0.001694915,2.470637584,Study2,2,2338,1714,56,0.659028624,2.470637584,0.67894181,8.99053495,N,9
GC,38,0.016253208,frequency,0.016290727,19,0.011085181,probability,0.011299435,1.449044586,Study2,2,2338,1714,56,0.276834035,1.449044586,0.842239996,2.493030754,N,38
GD,2,0.000855432,frequency,0.001253133,3,0.001750292,probability,0.002259887,0.553952321,Study2,2,2338,1714,56,0.764406842,0.553952321,0.123821525,2.478270037,N,3
GE,3,0.001283148,frequency,0.001670844,7,0.004084014,probability,0.004519774,0.368619247,Study2,2,2338,1714,56,0.61317693,0.368619247,0.110823348,1.226096766,N,7
GF,77,0.032934132,frequency,0.032581454,65,0.037922987,probability,0.037288136,0.869524258,Study2,2,2338,1714,56,0.170266442,0.869524258,0.622799107,1.21399088,N,77
GH,44,0.018819504,frequency,0.018796992,45,0.026254376,probability,0.025988701,0.717974346,Study2,2,2338,1714,56,0.212054503,0.717974346,0.473810292,1.08796109,N,45
HA,75,0.0320787,frequency,0.031746032,47,0.027421237,probability,0.027118644,1.176229508,Study2,2,2338,1714,56,0.187091835,1.176229508,0.815147659,1.697257963,N,75
HB,22,0.009409752,frequency,0.009607352,28,0.016336056,probability,0.016384181,0.582367399,Study2,2,2338,1714,56,0.280993176,0.582367399,0.335745991,1.010143969,N,28
HC,36,0.015397776,frequency,0.015455305,40,0.023337223,probability,0.023163842,0.661992818,Study2,2,2338,1714,56,0.228953943,0.661992818,0.422633333,1.036914169,N,40
HD,13,0.005560308,frequency,0.005847953,11,0.006417736,probability,0.006779661,0.861764706,Study2,2,2338,1714,56,0.394652887,0.861764706,0.397606416,1.867772696,N,13
HE,8,0.003421728,frequency,0.003759398,9,0.005250875,probability,0.005649718,0.664150943,Study2,2,2338,1714,56,0.460541616,0.664150943,0.269305893,1.637901315,N,9
HF,13,0.005560308,frequency,0.005847953,7,0.004084014,probability,0.004519774,1.295588235,Study2,2,2338,1714,56,0.444315514,1.295588235,0.542322964,3.095109348,N,13
HG,14,0.005988024,frequency,0.006265664,17,0.00991832,probability,0.010169492,0.613703237,Study2,2,2338,1714,56,0.351017582,0.613703237,0.308436819,1.221098259,N,17
