"n_gram","freqz.x","probz.x","correctness.x","probzSmooth.x","freqz.y","probz.y","correctness.y","probzSmooth.y","oddsR","numerical_format","Ngrams"
"AB",245,0.0743099787685775,"incorrect",0.0733671339099314,95,0.0713213213213213,"correct",0.069164265129683,1.06557772771162,"frequency",2
"AC",57,0.0172884440400364,"incorrect",0.0172979421413659,16,0.012012012012012,"correct",0.0122478386167147,1.41958403998929,"frequency",2
"AD",13,0.00394297846527146,"incorrect",0.00417536534446764,1,0.000750750750750751,"correct",0.00144092219020173,2.90566037735849,"frequency",2
"AE",13,0.00394297846527146,"incorrect",0.00417536534446764,6,0.0045045045045045,"correct",0.00504322766570605,0.827193770589997,"frequency",2
"AF",8,0.0024264482863209,"incorrect",0.0026841634357292,2,0.0015015015015015,"correct",0.00216138328530259,1.24252392344498,"frequency",2
"AG",3,0.000909918107370337,"incorrect",0.00119296152699075,1,0.000750750750750751,"correct",0.00144092219020173,0.827709764108689,"frequency",2
"AH",54,0.0163785259326661,"incorrect",0.0164032209961229,11,0.00825825825825826,"correct",0.00864553314121038,1.91227006266424,"frequency",2
"BA",130,0.0394297846527146,"incorrect",0.0390694900089472,53,0.0397897897897898,"correct",0.0389048991354467,1.00440260247833,"frequency",2
"BC",160,0.048528965726418,"incorrect",0.0480167014613779,57,0.0427927927927928,"correct",0.0417867435158501,1.1566091954023,"frequency",2
"BD",231,0.0700636942675159,"incorrect",0.0691917685654638,81,0.0608108108108108,"correct",0.0590778097982709,1.18392322660811,"frequency",2
"BE",25,0.00758265089475281,"incorrect",0.0077542499254399,21,0.0157657657657658,"correct",0.015850144092219,0.485231029865836,"frequency",2
"BF",15,0.00454959053685168,"incorrect",0.00477184610796302,2,0.0015015015015015,"correct",0.00216138328530259,2.21356507841374,"frequency",2
"BG",4,0.00121322414316045,"incorrect",0.00149120190873844,0,0,"correct",0.000720461095100865,2.07138590203106,"frequency",2
"BH",34,0.0103124052168638,"incorrect",0.0104384133611691,10,0.00750750750750751,"correct",0.00792507204610951,1.3204833141542,"frequency",2
"CA",69,0.0209281164695177,"incorrect",0.0208768267223382,19,0.0142642642642643,"correct",0.0144092219020173,1.45842217484009,"frequency",2
"CB",88,0.0266909311495299,"incorrect",0.0265433939755443,33,0.0247747747747748,"correct",0.0244956772334294,1.08587442329873,"frequency",2
"CD",36,0.010919017288444,"incorrect",0.0110348941246645,11,0.00825825825825826,"correct",0.00864553314121038,1.27945315641335,"frequency",2
"CE",37,0.0112223233242342,"incorrect",0.0113331345064122,12,0.00900900900900901,"correct",0.00936599423631124,1.212437637777,"frequency",2
"CF",92,0.0279041552926903,"incorrect",0.027736355502535,48,0.036036036036036,"correct",0.0353025936599424,0.77956053587079,"frequency",2
"CG",44,0.0133454655747649,"incorrect",0.013420817178646,18,0.0135135135135135,"correct",0.0136887608069164,0.980159740342392,"frequency",2
"CH",67,0.0203215043979375,"incorrect",0.0202803459588428,36,0.027027027027027,"correct",0.026657060518732,0.755835287342137,"frequency",2
"DA",9,0.00272975432211101,"incorrect",0.00298240381747689,3,0.00225225225225225,"correct",0.00288184438040346,1.03499850433742,"frequency",2
"DB",141,0.0427661510464058,"incorrect",0.0423501342081718,44,0.033033033033033,"correct",0.0324207492795389,1.31981037406139,"frequency",2
"DC",39,0.0118289353958144,"incorrect",0.0119296152699075,7,0.00525525525525526,"correct",0.00576368876080692,2.08270449743435,"frequency",2
"DE",275,0.0834091598422809,"incorrect",0.0823143453623621,127,0.0953453453453453,"correct",0.0922190201729107,0.882962300942477,"frequency",2
"DF",7,0.00212314225053079,"incorrect",0.00238592305398151,4,0.003003003003003,"correct",0.00360230547550432,0.66152466367713,"frequency",2
"DG",3,0.000909918107370337,"incorrect",0.00119296152699075,0,0,"correct",0.000720461095100865,1.65661391460137,"frequency",2
"DH",19,0.00576281468001213,"incorrect",0.00596480763495377,2,0.0015015015015015,"correct",0.00216138328530259,2.77027702770277,"frequency",2
"EA",18,0.00545950864422202,"incorrect",0.00566656725320608,4,0.003003003003003,"correct",0.00360230547550432,1.57630473905219,"frequency",2
"EB",50,0.0151653017895056,"incorrect",0.0152102594691321,25,0.0187687687687688,"correct",0.0187319884726225,0.809090061967106,"frequency",2
"EC",23,0.00697603882317258,"incorrect",0.00715776916194453,21,0.0157657657657658,"correct",0.015850144092219,0.447636472869276,"frequency",2
"ED",187,0.056718228692751,"incorrect",0.0560691917685655,84,0.0630630630630631,"correct",0.0612391930835735,0.91056221540749,"frequency",2
"EF",166,0.0503488019411586,"incorrect",0.049806143751864,88,0.0660660660660661,"correct",0.0641210374639769,0.765050043377981,"frequency",2
"EG",10,0.00303306035790112,"incorrect",0.00328064419922457,5,0.00375375375375375,"correct",0.00432276657060519,0.758128864951127,"frequency",2
"EH",12,0.00363967242948135,"incorrect",0.00387712496271995,6,0.0045045045045045,"correct",0.00504322766570605,0.767878528656972,"frequency",2
"FA",11,0.00333636639369123,"incorrect",0.00357888458097226,2,0.0015015015015015,"correct",0.00216138328530259,1.65818617180485,"frequency",2
"FB",23,0.00697603882317258,"incorrect",0.00715776916194453,6,0.0045045045045045,"correct",0.00504322766570605,1.42230614084024,"frequency",2
"FC",57,0.0172884440400364,"incorrect",0.0172979421413659,40,0.03003003003003,"correct",0.0295389048991354,0.578304156334431,"frequency",2
"FD",7,0.00212314225053079,"incorrect",0.00238592305398151,6,0.0045045045045045,"correct",0.00504322766570605,0.471834294255819,"frequency",2
"FE",97,0.0294206854716409,"incorrect",0.0292275574112735,58,0.0435435435435435,"correct",0.042507204610951,0.678184800437397,"frequency",2
"FG",181,0.0548983924780103,"incorrect",0.0542797494780793,67,0.0503003003003003,"correct",0.0489913544668588,1.11414102064667,"frequency",2
"FH",27,0.00818926296633303,"incorrect",0.00835073068893528,13,0.00975975975975976,"correct",0.0100864553314121,0.826466165413534,"frequency",2
"GA",10,0.00303306035790112,"incorrect",0.00328064419922457,2,0.0015015015015015,"correct",0.00216138328530259,1.5195491721524,"frequency",2
"GB",9,0.00272975432211101,"incorrect",0.00298240381747689,3,0.00225225225225225,"correct",0.00288184438040346,1.03499850433742,"frequency",2
"GC",60,0.0181983621474067,"incorrect",0.018192663286609,20,0.015015015015015,"correct",0.0151296829971182,1.2061997338425,"frequency",2
"GD",4,0.00121322414316045,"incorrect",0.00149120190873844,1,0.000750750750750751,"correct",0.00144092219020173,1.03494623655914,"frequency",2
"GE",6,0.00181983621474067,"incorrect",0.00208768267223382,6,0.0045045045045045,"correct",0.00504322766570605,0.412731619844591,"frequency",2
"GF",104,0.0315438277221717,"incorrect",0.0313152400835073,46,0.0345345345345345,"correct",0.0338616714697406,0.92236793837124,"frequency",2
"GH",64,0.0194115862905672,"incorrect",0.0193856248135998,20,0.015015015015015,"correct",0.0151296829971182,1.28685841733287,"frequency",2
"HA",97,0.0294206854716409,"incorrect",0.0292275574112735,31,0.0232732732732733,"correct",0.0230547550432277,1.2758064516129,"frequency",2
"HB",30,0.00909918107370337,"incorrect",0.00924545183417835,10,0.00750750750750751,"correct",0.00792507204610951,1.16816266214219,"frequency",2
"HC",61,0.0185016681831968,"incorrect",0.0184909036683567,24,0.018018018018018,"correct",0.0180115273775216,1.02711637800061,"frequency",2
"HD",19,0.00576281468001213,"incorrect",0.00596480763495377,3,0.00225225225225225,"correct",0.00288184438040346,2.07620762076208,"frequency",2
"HE",11,0.00333636639369123,"incorrect",0.00357888458097226,1,0.000750750750750751,"correct",0.00144092219020173,2.48907512720742,"frequency",2
"HF",13,0.00394297846527146,"incorrect",0.00417536534446764,8,0.00600600600600601,"correct",0.00648414985590778,0.642441183321686,"frequency",2
"HG",22,0.00667273278738247,"incorrect",0.00685952878019684,12,0.00900900900900901,"correct",0.00936599423631124,0.730538230538231,"frequency",2
"AB",213,0.0718381112984823,"incorrect",0.0708374710360808,24,0.0757097791798107,"correct",0.0670241286863271,1.06123263270395,"probability",2
"AC",34,0.0114671163575042,"incorrect",0.0115855676928169,5,0.0157728706624606,"correct",0.0160857908847185,0.716956910024559,"probability",2
"AD",5,0.00168634064080944,"incorrect",0.00198609731876862,0,0,"correct",0.00268096514745308,0.740298507462686,"probability",2
"AE",5,0.00168634064080944,"incorrect",0.00198609731876862,0,0,"correct",0.00268096514745308,0.740298507462686,"probability",2
"AF",5,0.00168634064080944,"incorrect",0.00198609731876862,0,0,"correct",0.00268096514745308,0.740298507462686,"probability",2
"AG",1,0.000337268128161889,"incorrect",0.00066203243958954,1,0.00315457413249211,"correct",0.00536193029490617,0.122888373633654,"probability",2
"AH",34,0.0114671163575042,"incorrect",0.0115855676928169,1,0.00315457413249211,"correct",0.00536193029490617,2.17431346282652,"probability",2
"BA",64,0.0215851602023609,"incorrect",0.02151605428666,5,0.0157728706624606,"correct",0.0160857908847185,1.34500451059991,"probability",2
"BC",144,0.048566610455312,"incorrect",0.0479973518702416,19,0.0599369085173502,"correct",0.0536193029490617,0.889864394993046,"probability",2
"BD",202,0.0681281618887015,"incorrect",0.0671962926183383,27,0.0851735015772871,"correct",0.0750670241286863,0.887597586941093,"probability",2
"BE",42,0.0141652613827993,"incorrect",0.0142336974511751,5,0.0157728706624606,"correct",0.0160857908847185,0.883199014998881,"probability",2
"BF",7,0.00236087689713322,"incorrect",0.00264812975835816,0,0,"correct",0.00268096514745308,0.987719880517756,"probability",2
"BG",1,0.000337268128161889,"incorrect",0.00066203243958954,0,0,"correct",0.00268096514745308,0.2464392182842,"probability",2
"BH",42,0.0141652613827993,"incorrect",0.0142336974511751,5,0.0157728706624606,"correct",0.0160857908847185,0.883199014998881,"probability",2
"CA",31,0.0104553119730185,"incorrect",0.0105925190334326,2,0.00630914826498423,"correct",0.00804289544235925,1.32039701126352,"probability",2
"CB",80,0.0269814502529511,"incorrect",0.0268123138033764,9,0.028391167192429,"correct",0.0268096514745308,1.00010204081633,"probability",2
"CD",40,0.0134907251264755,"incorrect",0.0135716650115856,6,0.0189274447949527,"correct",0.0187667560321716,0.719367209971237,"probability",2
"CE",37,0.0124789207419899,"incorrect",0.0125786163522013,5,0.0157728706624606,"correct",0.0160857908847185,0.779193205944798,"probability",2
"CF",73,0.0246205733558179,"incorrect",0.024495200264813,10,0.0315457413249211,"correct",0.0294906166219839,0.826356541320912,"probability",2
"CG",40,0.0134907251264755,"incorrect",0.0135716650115856,3,0.00946372239747634,"correct",0.0107238605898123,1.26921140939597,"probability",2
"CH",84,0.0283305227655987,"incorrect",0.0281363786825554,8,0.0252365930599369,"correct",0.0241286863270777,1.17090523766273,"probability",2
"DA",4,0.00134907251264755,"incorrect",0.00165508109897385,2,0.00630914826498423,"correct",0.00804289544235925,0.20446507515473,"probability",2
"DB",112,0.0377740303541315,"incorrect",0.037404832836809,16,0.0504731861198738,"correct",0.0455764075067024,0.813738975645279,"probability",2
"DC",41,0.0138279932546374,"incorrect",0.0139026812313803,2,0.00630914826498423,"correct",0.00804289544235925,1.73883853642162,"probability",2
"DE",258,0.0870151770657673,"incorrect",0.0857332009268454,22,0.0694006309148265,"correct",0.0616621983914209,1.42697478197903,"probability",2
"DF",6,0.00202360876897133,"incorrect",0.00231711353856339,2,0.00630914826498423,"correct",0.00804289544235925,0.286441052864411,"probability",2
"DG",5,0.00168634064080944,"incorrect",0.00198609731876862,0,0,"correct",0.00268096514745308,0.740298507462686,"probability",2
"DH",17,0.00573355817875211,"incorrect",0.00595829195630586,4,0.0126182965299685,"correct",0.0134048257372654,0.441158841158841,"probability",2
"EA",9,0.003035413153457,"incorrect",0.0033101621979477,2,0.00630914826498423,"correct",0.00804289544235925,0.40960921067198,"probability",2
"EB",27,0.009106239460371,"incorrect",0.00926845415425356,5,0.0157728706624606,"correct",0.0160857908847185,0.572224078405168,"probability",2
"EC",61,0.0205733558178752,"incorrect",0.0205230056272757,3,0.00946372239747634,"correct",0.0107238605898123,1.93291652585333,"probability",2
"ED",169,0.0569983136593592,"incorrect",0.0562727573651109,9,0.028391167192429,"correct",0.0268096514745308,2.16450368291827,"probability",2
"EF",165,0.0556492411467116,"incorrect",0.0549486924859318,15,0.0473186119873817,"correct",0.0428954423592493,1.2973292469352,"probability",2
"EG",4,0.00134907251264755,"incorrect",0.00165508109897385,3,0.00946372239747634,"correct",0.0107238605898123,0.152934350132626,"probability",2
"EH",17,0.00573355817875211,"incorrect",0.00595829195630586,1,0.00315457413249211,"correct",0.00536193029490617,1.11188811188811,"probability",2
"FA",7,0.00236087689713322,"incorrect",0.00264812975835816,2,0.00630914826498423,"correct",0.00804289544235925,0.32746985285983,"probability",2
"FB",8,0.00269814502529511,"incorrect",0.00297914597815293,1,0.00315457413249211,"correct",0.00536193029490617,0.554282868525896,"probability",2
"FC",55,0.0185497470489039,"incorrect",0.0185369083085071,8,0.0252365930599369,"correct",0.0241286863270777,0.763874836050215,"probability",2
"FD",8,0.00269814502529511,"incorrect",0.00297914597815293,2,0.00630914826498423,"correct",0.00804289544235925,0.368525896414343,"probability",2
"FE",95,0.0320404721753794,"incorrect",0.0317775571002979,3,0.00946372239747634,"correct",0.0107238605898123,3.02769230769231,"probability",2
"FG",170,0.0573355817875211,"incorrect",0.0566037735849057,20,0.0630914826498423,"correct",0.0563002680965147,1.00571428571429,"probability",2
"FH",29,0.00978077571669477,"incorrect",0.0099304865938431,1,0.00315457413249211,"correct",0.00536193029490617,1.86058174523571,"probability",2
"GA",5,0.00168634064080944,"incorrect",0.00198609731876862,2,0.00630914826498423,"correct",0.00804289544235925,0.245439469320066,"probability",2
"GB",5,0.00168634064080944,"incorrect",0.00198609731876862,0,0,"correct",0.00268096514745308,0.740298507462686,"probability",2
"GC",35,0.0118043844856661,"incorrect",0.0119165839126117,4,0.0126182965299685,"correct",0.0134048257372654,0.887638190954774,"probability",2
"GD",5,0.00168634064080944,"incorrect",0.00198609731876862,1,0.00315457413249211,"correct",0.00536193029490617,0.369154228855721,"probability",2
"GE",9,0.003035413153457,"incorrect",0.0033101621979477,0,0,"correct",0.00268096514745308,1.23546994354035,"probability",2
"GF",111,0.0374367622259696,"incorrect",0.0370738166170142,8,0.0252365930599369,"correct",0.0241286863270777,1.557159772354,"probability",2
"GH",75,0.0252951096121417,"incorrect",0.0251572327044025,12,0.0378548895899054,"correct",0.0348525469168901,0.714640198511166,"probability",2
"HA",93,0.0313659359190556,"incorrect",0.0311155246607084,10,0.0315457413249211,"correct",0.0294906166219839,1.05686865235892,"probability",2
"HB",42,0.0141652613827993,"incorrect",0.0142336974511751,6,0.0189274447949527,"correct",0.0187667560321716,0.754964981291375,"probability",2
"HC",63,0.021247892074199,"incorrect",0.0211850380668653,7,0.0220820189274448,"correct",0.0214477211796247,0.987487318227934,"probability",2
"HD",21,0.00708263069139966,"incorrect",0.00728235683548494,2,0.00630914826498423,"correct",0.00804289544235925,0.904746026453262,"probability",2
"HE",11,0.00370994940978078,"incorrect",0.00397219463753724,3,0.00946372239747634,"correct",0.0107238605898123,0.3678963110668,"probability",2
"HF",13,0.00438448566610455,"incorrect",0.00463422707712678,2,0.00630914826498423,"correct",0.00804289544235925,0.574215718878173,"probability",2
"HG",26,0.00876897133220911,"incorrect",0.00893743793445879,2,0.00630914826498423,"correct",0.00804289544235925,1.1122244488978,"probability",2
